cod_muni;cod_depto;depto_origen;muni_origen;lat;lon
15755;15;BOYACÁ;SOCOTÁ;6.0412437;-72.6365858
15757;15;BOYACÁ;SOCHA;5.997488;-72.6911515
15759;15;BOYACÁ;SOGAMOSO;5.7148307;-72.9279328
15761;15;BOYACÁ;SOMONDOCO;4.9618617;-73.4333556
15762;15;BOYACÁ;SORA;5.5840044;-73.4383989
15763;15;BOYACÁ;SOTAQUIRÁ;5.7853117;-73.2591
15764;15;BOYACÁ;SORACÁ;5.4814276;-73.3217772
15774;15;BOYACÁ;SUSACÓN;6.2322941;-72.6918572
15776;15;BOYACÁ;SUTAMARCHÁN;5.637484;-73.6275168
15778;15;BOYACÁ;SUTATENZA;5.0243841;-73.4267539
15790;15;BOYACÁ;TASCO;5.8983538;-72.7578745
15798;15;BOYACÁ;TENZA;5.0763822;-73.4173609
15804;15;BOYACÁ;TIBANÁ;5.3108665;-73.391183
15806;15;BOYACÁ;TIBASOSA;5.7480813;-73.0127908
15808;15;BOYACÁ;TINJACÁ;5.572943;-73.6709218
15810;15;BOYACÁ;TIPACOQUE;6.4279842;-72.7001078
15814;15;BOYACÁ;TOCA;5.5771231;-73.16845
15816;15;BOYACÁ;TOGÜÍ;5.9170442;-73.4964349
15820;15;BOYACÁ;TÓPAGA;5.7664573;-72.8403634
15822;15;BOYACÁ;TOTA;5.4766073;-73.0133761
15832;15;BOYACÁ;TUNUNGUÁ;5.7173695;-73.9312695
15835;15;BOYACÁ;TURMEQUÉ;5.3014558;-73.5115863
15837;15;BOYACÁ;TUTA;5.6786146;-73.1870563
15839;15;BOYACÁ;TUTAZÁ;6.0739913;-72.8624193
15842;15;BOYACÁ;ÚMBITA;5.22123;-73.457038
15861;15;BOYACÁ;VENTAQUEMADA;5.3666155;-73.5216361
15879;15;BOYACÁ;VIRACACHÁ;5.4474929;-73.2667175
15897;15;BOYACÁ;ZETAQUIRA;5.2821538;-73.1669653
17001;17;CALDAS;MANIZALES;5.0743694;-75.5081167
17013;17;CALDAS;AGUADAS;5.613113;-75.4575902
17042;17;CALDAS;ANSERMA;5.2295674;-75.7878384
17050;17;CALDAS;ARANZAZU;5.2711368;-75.4904079
17088;17;CALDAS;BELALCÁZAR;4.994718;-75.8122627
17174;17;CALDAS;CHINCHINÁ;5.0021529;-75.703989
17272;17;CALDAS;FILADELFIA;5.2963713;-75.5622217
17380;17;CALDAS;LA DORADA;5.4457655;-74.6618458
17388;17;CALDAS;LA MERCED;5.3990667;-75.5478047
17433;17;CALDAS;MANZANARES;5.253198;-75.1544544
17442;17;CALDAS;MARMATO;5.4754029;-75.5987879
17444;17;CALDAS;MARQUETALIA;5.2966038;-75.0546064
17446;17;CALDAS;MARULANDA;5.2841208;-75.2606169
17486;17;CALDAS;NEIRA;5.1917458;-75.5195162
17495;17;CALDAS;NORCASIA;5.5758643;-74.8881645
17513;17;CALDAS;PÁCORA;5.5272323;-75.4594449
17524;17;CALDAS;PALESTINA;5.0203683;-75.6223394
17541;17;CALDAS;PENSILVANIA;5.3833488;-75.1609683
17614;17;CALDAS;RIOSUCIO;5.4209549;-75.7030623
17616;17;CALDAS;RISARALDA;5.1635531;-75.7673963
17653;17;CALDAS;SALAMINA;5.4078495;-75.4880496
17662;17;CALDAS;SAMANÁ;5.4127804;-74.992031
17665;17;CALDAS;SAN JOSÉ;5.0804958;-75.7923405
17777;17;CALDAS;SUPÍA;5.4533321;-75.651965
17867;17;CALDAS;VICTORIA;5.3167944;-74.9120079
17873;17;CALDAS;VILLAMARÍA;4.9274251;-75.4531346
17877;17;CALDAS;VITERBO;5.0618565;-75.8734996
18001;18;CAQUETÁ;FLORENCIA;1.6158666;-75.6143045
18029;18;CAQUETÁ;ALBANIA;1.3290058;-75.8786065
18094;18;CAQUETÁ;BELÉN DE LOS ANDAQUÍES;1.4163944;-75.8725636
18150;18;CAQUETÁ;CARTAGENA DEL CHAIRÁ;1.3345179;-74.8414067
18205;18;CAQUETÁ;CURILLO;1.0326931;-75.9193814
18247;18;CAQUETÁ;EL DONCELLO;1.6815919;-75.2844565
18256;18;CAQUETÁ;EL PAUJÍL;1.5716432;-75.3269578
18410;18;CAQUETÁ;LA MONTAÑITA;1.4817139;-75.4356404
18460;18;CAQUETÁ;MILÁN;1.2900867;-75.5076247
18479;18;CAQUETÁ;MORELIA;1.4874697;-75.724859
18592;18;CAQUETÁ;PUERTO RICO;1.909392;-75.1530969
18610;18;CAQUETÁ;SAN JOSÉ DEL FRAGUA;1.3314207;-75.9727503
18753;18;CAQUETÁ;SAN VICENTE DEL CAGUÁN;2.1131213;-74.7697347
18756;18;CAQUETÁ;SOLANO;0.2407577;-72.5216978
